Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Total_Cost,Discount_Rate,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country
200,2020-01-01 20:32:25.945945,1086,536,3,8265.37454940804,0.2,Online,High,WH-3,2-Day,Cancelled,Neutral,False,Wrong Item,Wire Transfer,False,West,Canada
321,2020-01-02 06:55:08.108108,1078,523,6,4047.8504787607,0.0,Reseller,Critical,WH-1,Overnight,Backorder,Satisfied,True,Damaged,PayPal,True,South,Mexico
989,2020-01-06 08:12:58.378378,1077,535,3,5096.553818483975,0.05,Direct,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,PayPal,True,West,Canada
682,2020-01-07 22:03:14.594594,1027,546,6,8194.281992877543,0.0,Reseller,Medium,WH-1,Express,Pending,Unsatisfied,False,Wrong Item,Cash,True,South,Canada
484,2020-01-07 07:08:06.486486,1052,556,8,8331.32924886882,0.2,Direct,Low,WH-2,2-Day,Delivered,Satisfied,True,Late,Cash,False,South,Mexico
483,2020-01-01 21:11:21.081081,1074,549,8,6894.375243656562,0.05,Reseller,Medium,WH-3,2-Day,Backorder,Unsatisfied,True,Not Specified,PayPal,False,South,USA
757,2020-01-01 21:11:21.081081,1061,547,7,4611.329101247279,0.15,Direct,Critical,WH-3,Express,Cancelled,Neutral,False,Late,Credit Card,True,South,Canada
985,2020-01-06 00:25:56.756756,1040,542,1,7623.669347238553,0.0,Direct,Critical,WH-2,Overnight,Delivered,Neutral,True,Not Specified,Credit Card,False,North,Canada
795,2020-01-08 03:53:30.810810,1014,533,1,6194.880826757808,0.0,Direct,Medium,WH-1,Express,Delivered,Neutral,True,Late,PayPal,False,East,Mexico
459,2020-01-06 22:16:12.972972,1040,529,8,5933.960843694132,0.0,Partner,Critical,WH-3,Overnight,Pending,Unsatisfied,True,Late,Credit Card,False,South,USA
826,2020-01-02 04:32:25.945945,1039,521,1,4697.420195618569,0.0,Reseller,Medium,WH-2,Overnight,Delivered,Unsatisfied,False,Wrong Item,Cash,True,East,Canada
116,2020-01-07 12:32:25.945945,1080,535,8,5350.517195865819,0.0,Direct,Critical,WH-2,Regular,Cancelled,Satisfied,False,Not Specified,Cash,True,East,Canada
417,2020-01-06 05:11:21.081081,1076,555,4,980.913486556204,0.0,Partner,High,WH-3,Express,Backorder,Unsatisfied,False,Damaged,Credit Card,True,West,Canada
367,2020-01-08 22:16:12.972972,1097,524,9,5943.900905880649,0.1,Partner,Critical,WH-3,Express,Delivered,Unsatisfied,False,Wrong Item,Credit Card,False,East,Canada
233,2020-01-05 13:11:21.081081,1070,508,6,6757.282871927786,0.15,Reseller,Medium,WH-1,Overnight,Delivered,Unsatisfied,True,Late,Credit Card,False,North,Mexico
191,2020-01-05 23:34:03.243243,1099,546,9,4743.788008955943,0.0,Partner,Medium,WH-1,Regular,Pending,Satisfied,True,Late,PayPal,False,North,USA
891,2020-01-06 22:29:11.351351,1056,523,1,5013.353792234297,0.05,Direct,High,WH-2,Regular,Cancelled,Neutral,False,Damaged,Wire Transfer,False,West,Canada
770,2020-01-05 17:17:50.270270,1021,510,4,9438.36161081244,0.0,Direct,Medium,WH-1,2-Day,Delivered,Neutral,True,Late,Credit Card,False,North,Canada
387,2020-01-07 01:17:50.270270,1036,515,2,7036.432792204224,0.1,Online,High,WH-1,Express,Backorder,Neutral,True,Wrong Item,Credit Card,False,South,Canada
641,2020-01-02 09:04:51.891891,1099,549,9,6980.821047923439,0.05,Direct,Low,WH-1,Express,Cancelled,Unsatisfied,False,Damaged,Credit Card,True,West,USA
278,2020-01-02 00:12:58.378378,1020,542,6,5034.828782162813,0.2,Partner,Low,WH-1,Regular,Pending,Satisfied,False,Late,Cash,True,North,Mexico
649,2020-01-02 23:21:04.864864,1096,535,9,7657.985051266169,0.0,Partner,Low,WH-3,Overnight,Backorder,Satisfied,False,Damaged,Cash,True,South,Mexico
599,2020-01-06 21:50:16.216216,1046,548,2,3755.9437915651183,0.1,Reseller,High,WH-1,Overnight,Delivered,Unsatisfied,False,Late,Credit Card,True,West,Canada
516,2020-01-08 01:30:48.648648,1026,520,1,881.3191613109819,0.0,Reseller,Low,WH-3,Express,Delivered,Neutral,False,Damaged,PayPal,False,West,Mexico
871,2020-01-03 06:16:12.972972,1018,521,4,6869.126171070717,0.2,Partner,High,WH-2,Overnight,Pending,Unsatisfied,True,Damaged,Credit Card,True,West,USA
46,2020-01-09 18:48:38.918918,1062,531,9,7743.24610741125,0.2,Partner,High,WH-3,Overnight,Pending,Unsatisfied,False,Wrong Item,Wire Transfer,True,East,Canada
481,2020-01-02 14:55:08.108108,1053,537,5,6887.646511271185,0.05,Direct,Critical,WH-3,2-Day,Delivered,Neutral,True,Damaged,PayPal,False,West,USA
671,2020-01-07 19:40:32.432432,1100,534,8,5671.2764325260505,0.0,Reseller,Low,WH-2,Overnight,Pending,Unsatisfied,False,Not Specified,Wire Transfer,True,West,Mexico
744,2020-01-04 09:04:51.891891,1025,542,3,6154.682460834315,0.05,Direct,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,True,North,Mexico
